if_id,title,interface_version,contract_version,lifecycle_state,record_status,specification_file,machine_readable_contract,cr_ids,controlled_profile_companions,public_error_contract,metadata_contract,repository_release_target,repository_release_target_status,release_status,artifact_lifecycle_state,controlling_published_baseline,baseline_date,rtm_dataset_version
IF-001,AGCP HTTP Interface v2,v2,2.0.1,Implemented,Active,spec/AGCP-HTTP-Interface-Specification.md,api/AGCP-HTTP-Contract.yaml,CR-005;CR-010;CR-012;CR-013;CR-014;CR-015;CR-016;CR-017;CR-018;CR-019;CR-020;CR-021;CR-022;CR-023;CR-024;CR-025;CR-026;CR-027;CR-028;CR-029;CR-030;CR-031;CR-032;CR-033;CR-034;CR-035;CR-036;CR-037;CR-038;CR-039;CR-040;CR-041;CR-042;CR-043;CR-044;CR-045;CR-046;CR-047;CR-058;CR-059;CR-060;CR-061;CR-073;CR-089;CR-090;CR-094;CR-095;CR-096;CR-102;CR-119;CR-120;CR-121;CR-048;CR-068;CR-110;CR-113,,"{""capacity_unavailable"":""503 CAPACITY_UNAVAILABLE"",""governance_quota_denial"":""authoritative Governance Outcome, not HTTP 429"",""pre_governance_throttling"":""429 REQUEST_THROTTLED with Retry-After delay-seconds"",""public_not_found"":""404 RESOURCE_NOT_FOUND""}","{""active_governance_version_required"":true,""baseline_digest_required"":true,""optional_public_safe_deployment_binding"":true,""profile_digest_required"":true,""schema"":""schemas/meta_response.json"",""schema_and_validator_digests_required"":true}",v2.0.1,UNRELEASED_ACCUMULATED_CORRECTION_SET,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.0,2026-07-30,RTM-1.46
IF-002,AGCP Policy Evaluation Contract,v2,2.0.1,Implemented,Active,spec/AGCP-Policy-Evaluation-Contract.md,,CR-007;CR-031;CR-034;CR-073;CR-074;CR-075;CR-076;CR-077;CR-078;CR-079;CR-080;CR-081;CR-082;CR-083;CR-084;CR-085;CR-086;CR-087;CR-088;CR-089;CR-090;CR-094;CR-095;CR-105;CR-106;CR-107;CR-108;CR-109;CR-110;CR-111;CR-112;CR-113;CR-114;CR-115;CR-116;CR-117;CR-119;CR-120;CR-121;CR-122,IF-002-WASM-RUST-STUDENT-SERVICE-2.0.0,,,v2.0.1,UNRELEASED_ACCUMULATED_CORRECTION_SET,PUBLIC_REVIEW_CONTROLLED_BASELINE,CURRENT,v2.0.0,2026-07-30,RTM-1.46
