profile_id,name,profile_version,status,lifecycle_state,authoritative_yaml,human_readable_markdown,profile_format_version,profile_digest_algorithm,profile_digest,agcp_baseline,baseline_bundle,baseline_bundle_sha256,baseline_bundle_uri,conformance_claim_status,production_claim_allowed,if_002_companion_id,if_002_companion_version,if_002_abi_id,governance_approval_submission_schema,governance_approval_authoritative_record_schema,repository_release_target,repository_release_target_status,artifact_lifecycle_state,controlling_published_baseline,baseline_date,rtm_dataset_version
AGCP-RUST-STUDENT-SERVICE-2.0.0,AGCP Rust Team Capstone Lab Implementation Profile,2.0.0-draft.6,DEVELOPMENT_PRE_CONFORMANCE,PROPOSED,AGCP-RUST-STUDENT-SERVICE-2.0.0.yaml,AGCP-RUST-STUDENT-SERVICE-2.0.0.md,1.1.0,SHA-256,3e391cd0b0a89189434776c4593dedb2b3dd460bfd5fe7f89d8fc8fdb4373b2d,2.0.0,agcp-spec-v.2.0.0.zip,790bffe0883c5371c6007986e373e275c9e966cb40c84c8186f38e4365f8c326,,NOT_CLAIMED,False,IF-002-WASM-RUST-STUDENT-SERVICE-2.0.0,1.0.0,agcp_pec_abi_v1,../schemas/governance_approval_submission.json,../schemas/governance_approval_artifact.json,v2.0.1,UNRELEASED_ACCUMULATED_CORRECTION_SET,CURRENT,v2.0.0,2026-07-30,RTM-1.46
AGCP-FULL-SCOPE-MULTITENANT-EXAMPLE-PROFILE,AGCP Full-Scope Multitenant Training and Client Demonstration Implementation Profile - Informational Example,1.3.0,INFORMATIONAL_EXAMPLE,EXAMPLE,,AGCP-FULL-SCOPE-MULTITENANT-EXAMPLE-PROFILE.md,,,,2.0.0,,,,NOT_CLAIMED,False,,,,,,v2.0.1,UNRELEASED_ACCUMULATED_CORRECTION_SET,CURRENT,v2.0.0,2026-07-30,RTM-1.46
